Date,Open,High,Low,Close,IOC,Volume
07-10-2022,67.650002,67.849998,67.050003,67.449997,65.397766,14879891
10-10-2022,67,67.699997,66.849998,67.550003,65.494728,9042660
11-10-2022,67.699997,67.699997,65.800003,65.949997,63.943405,14905741
12-10-2022,66,67.849998,65.949997,67.25,65.203857,14459865
13-10-2022,67.300003,67.75,66.449997,66.849998,64.816025,9890714
14-10-2022,68,68,66.199997,66.300003,64.282761,10119406
17-10-2022,66.5,66.699997,65.550003,66.050003,64.040367,10841451
18-10-2022,66.400002,66.800003,66.099998,66.699997,64.670586,8153819
19-10-2022,66.800003,67.25,66.449997,67,64.961464,7157066
20-10-2022,66.650002,68.199997,66.550003,67.849998,65.785599,19426605
21-10-2022,67.400002,68.050003,67.199997,67.5,65.446251,9542021
24-10-2022,68.25,68.449997,67.949997,68.050003,65.979515,3745316
25-10-2022,67.849998,68.25,67.199997,67.900002,65.834076,12609170
27-10-2022,67.900002,68.5,67.849998,68.300003,66.221909,10404151
28-10-2022,68.5,69.199997,68.050003,68.449997,66.36734,9586976
31-10-2022,68.5,68.800003,68.099998,68.25,66.173431,10549071
01-11-2022,68.400002,68.650002,68.150002,68.5,66.415825,7840600
02-11-2022,68.550003,69.050003,68.349998,68.599998,66.512779,6785578
03-11-2022,68.5,69.150002,68.5,68.699997,66.609734,6466688
04-11-2022,68.650002,69,68.300003,68.5,66.415825,8971834
07-11-2022,68.849998,70.300003,68.699997,70.099998,67.96714,13032194
09-11-2022,70.349998,70.5,69.400002,69.550003,67.433876,10410493
10-11-2022,69.449997,69.849998,69.400002,69.599998,67.482353,5974147
11-11-2022,69.949997,70,69.400002,69.75,67.627792,8792244
14-11-2022,70,70.150002,68.849998,69.449997,67.336914,10222979
15-11-2022,69.800003,69.800003,69.150002,69.599998,67.482353,6477425
16-11-2022,69.650002,69.699997,69.050003,69.300003,67.191483,5638631
17-11-2022,69.449997,69.699997,69,69.099998,66.997566,5264089
18-11-2022,69.349998,69.5,68.75,69.25,67.143005,6231903
21-11-2022,69.349998,70.400002,69.150002,70.050003,67.918663,14820946
22-11-2022,70.050003,70.199997,69.449997,70,67.870186,13456815
23-11-2022,70.050003,70.300003,69.699997,69.900002,67.773224,7949141
24-11-2022,70.150002,72.699997,70.150002,72.050003,69.857811,29444796
25-11-2022,72.199997,73.949997,71.650002,73.349998,71.118256,22422462
28-11-2022,73.900002,76.449997,73.900002,76.199997,73.881538,40695313
29-11-2022,76.449997,76.699997,75,75.300003,73.008926,17421133
30-11-2022,74.5,77,74.449997,76.650002,74.317848,29122442
01-12-2022,77,77.150002,76,76.199997,73.881538,15072561
02-12-2022,76.199997,77.199997,76,77,74.657204,18220281
05-12-2022,77.050003,77.699997,76.699997,77.050003,74.705681,10947250
06-12-2022,77,77.400002,75.650002,75.800003,73.493713,10369691
07-12-2022,76.75,77.800003,76.150002,76.699997,74.366325,20909569
08-12-2022,77.449997,77.5,76.5,76.75,74.41481,11996025
09-12-2022,77.5,78.349998,76.699997,77,74.657204,24702723
12-12-2022,77,79.050003,76.800003,78.900002,76.49939,20455051
13-12-2022,79.199997,79.25,77.449997,77.75,75.384384,16409283
14-12-2022,77.900002,78.699997,77.550003,78.150002,75.772209,16268873
15-12-2022,78.150002,78.5,77.800003,78.099998,75.723732,9555282
16-12-2022,78.25,78.949997,76.650002,76.949997,74.608719,18672807
19-12-2022,77.199997,78.150002,76.599998,77.949997,75.578293,12681354
20-12-2022,77.949997,78.150002,77.050003,77.800003,75.432861,9368946
21-12-2022,77.800003,78.150002,76.150002,76.400002,74.075455,8618706
22-12-2022,76.400002,76.75,74.650002,75.099998,72.81501,15215404
23-12-2022,74.599998,75.099998,72.800003,73,70.778908,15286836
26-12-2022,73,74.599998,72.349998,74.400002,72.136307,9571856
27-12-2022,74.900002,75.199997,74.349998,75.099998,72.81501,5815217
28-12-2022,74.849998,75.150002,74.449997,74.800003,72.524139,6599386
29-12-2022,74.800003,75.150002,74.099998,74.75,72.475662,10191269
30-12-2022,75.199997,77.5,75.199997,76.5,74.172417,15567911
02-01-2023,77,78.550003,76.449997,78,75.626778,16878293
03-01-2023,78,78.900002,77.699997,78.5,76.111565,11509540
04-01-2023,78.900002,79.5,77.400002,78.099998,75.723732,11974831
05-01-2023,78.75,79.25,78.349998,79.099998,76.693306,14449439
06-01-2023,79.300003,80.800003,79,80.050003,77.614403,19075518
09-01-2023,80.849998,81,79.650002,80.099998,77.66288,16438468
10-01-2023,80.550003,80.800003,79.699997,80.599998,78.147667,11953196
11-01-2023,80.849998,84.050003,80.599998,83.550003,81.007912,44099830
12-01-2023,83.75,83.900002,81.199997,81.599998,79.117241,16440461
13-01-2023,81.550003,82.449997,81.099998,82.300003,79.795944,8018070
16-01-2023,82.449997,82.699997,81.75,82.25,79.747467,9367702
17-01-2023,82.300003,82.699997,81,81.599998,79.117241,8776414
18-01-2023,81.449997,82.900002,81.25,82.150002,79.650505,7980164
19-01-2023,82.150002,83.400002,81.900002,83.25,80.717041,9857262
20-01-2023,83.199997,83.550003,82.75,82.900002,80.377686,9411562
23-01-2023,83.150002,83.599998,82.599998,83.449997,80.91095,6972772
24-01-2023,83.800003,83.800003,82.699997,83.150002,80.620079,7069973
25-01-2023,82.900002,83.400002,82.300003,82.5,79.989861,8188678
27-01-2023,82.550003,83.050003,80,81,78.5355,10838959
30-01-2023,81,82.5,80.400002,81.75,79.26268,10783051
31-01-2023,82.5,83.300003,81.150002,81.75,79.26268,21752061
01-02-2023,81.699997,81.949997,78.349998,79.800003,77.372009,20031377
02-02-2023,79.599998,80,78.150002,78.550003,76.160042,10817457
03-02-2023,78.900002,78.900002,76.900002,78.449997,76.06308,11116563
06-02-2023,78.5,79.599998,78.099998,79.25,76.838745,9507602
07-02-2023,79.25,79.75,78.650002,79.050003,76.644829,6876198
08-02-2023,79,79.400002,78.300003,79.25,76.838745,6093832
09-02-2023,79.199997,80.699997,78.900002,79.599998,77.178093,8609974
10-02-2023,79.650002,80.449997,79.5,79.800003,77.372009,6286269
13-02-2023,80,80.25,79.25,79.5,77.081139,6470826
14-02-2023,79.449997,79.849998,78.650002,79.150002,76.741783,5013825
15-02-2023,78.449997,79.75,78.449997,79.5,77.081139,3686045
16-02-2023,79.849998,80.050003,79.199997,79.800003,77.372009,8603036
17-02-2023,79.900002,81.050003,79.599998,80.550003,78.09919,9145422
20-02-2023,80.699997,80.949997,79.300003,79.550003,77.129616,6867570
21-02-2023,80,80.25,79,79.199997,76.79026,4633296
22-02-2023,78.650002,78.800003,77.099998,77.300003,74.948074,9878001
23-02-2023,77.699997,77.900002,76.75,77.199997,74.851112,6290065
24-02-2023,77.5,77.650002,77.099998,77.349998,74.996552,6103178
27-02-2023,77.349998,77.400002,76.199997,76.849998,74.511765,6945215
28-02-2023,76.900002,77.050003,75.800003,76.050003,73.736107,10000095
01-03-2023,76,77.199997,75.849998,76.949997,74.608719,6694749
02-03-2023,77,78.150002,76.800003,77.900002,75.529816,5273986
03-03-2023,78.150002,78.449997,77.699997,78.199997,75.820686,5522499
06-03-2023,78.300003,79.800003,78.050003,79.25,76.838745,8582554
08-03-2023,78.75,79.349998,78.5,79.199997,76.79026,5969771
09-03-2023,79.300003,79.449997,78.550003,78.699997,76.305473,6135751
10-03-2023,78.5,79.25,77.5,78.900002,76.49939,6305111
13-03-2023,78.5,78.900002,77.650002,77.800003,75.432861,7151999
14-03-2023,77.849998,78.099998,77.25,77.699997,75.335899,8316642
15-03-2023,78.25,79.050003,78,78.599998,76.208519,8183051
16-03-2023,79,80.449997,78.75,79.900002,77.468964,27348566
17-03-2023,80.599998,80.849998,78.849998,79.300003,76.887222,22904016
20-03-2023,79.199997,80.699997,78.699997,80.599998,78.147667,18090005
21-03-2023,80.800003,81.150002,79.300003,79.550003,77.129616,9942587
22-03-2023,79.800003,79.949997,79.099998,79.599998,77.178093,8162089
23-03-2023,79.349998,79.599998,78.800003,79,76.596352,7065528
24-03-2023,78.849998,79.199997,78,78.400002,76.014603,10269895
27-03-2023,78,78.400002,76.75,77.099998,74.754158,4845906
28-03-2023,76.900002,77.400002,75.75,76.900002,74.560242,7446988
29-03-2023,76.849998,77.550003,76.650002,76.900002,74.560242,9921198
31-03-2023,77.300003,78.349998,77.199997,77.900002,75.529816,9748505
03-04-2023,77.25,78.25,76.900002,77.5,75.141991,11416090
05-04-2023,78.050003,78.25,77,77.150002,74.802635,6867318
06-04-2023,77.150002,77.849998,76.900002,77.699997,75.335899,5063531
10-04-2023,77.699997,78.199997,77.400002,77.800003,75.432861,5706517
11-04-2023,77.800003,78.099998,77.650002,77.900002,75.529816,2998570
12-04-2023,77.900002,78.199997,77.550003,78,75.626778,4182972
13-04-2023,78,78.150002,77,77.199997,74.851112,6411454
17-04-2023,77.199997,77.449997,76.800003,77.25,74.899597,7736935
18-04-2023,77.199997,78.099998,77.199997,78,75.626778,5096362
19-04-2023,77.949997,78.75,77.699997,78.550003,76.160042,7940271
20-04-2023,78.900002,79.099998,78.099998,78.199997,75.820686,7789377
21-04-2023,78.75,78.75,77.849998,78.25,75.869171,5001767
24-04-2023,78.300003,78.599998,77.949997,78.25,75.869171,7060879
25-04-2023,78.25,78.849998,78.050003,78.449997,76.06308,4656411
26-04-2023,78.349998,78.849998,78.150002,78.449997,76.06308,5090493
27-04-2023,78.550003,80.75,78.550003,80.449997,78.002228,17036886
28-04-2023,80.949997,81.550003,80.400002,81.400002,78.923325,11996476
02-05-2023,81.75,82.699997,81.400002,82.150002,79.650505,11768608
03-05-2023,82.449997,83.599998,82.449997,82.699997,80.183769,12067736
04-05-2023,83.099998,84.5,82.900002,83.300003,80.765518,15811123
05-05-2023,83.300003,83.449997,82.400002,82.800003,80.280731,5895640
08-05-2023,83,83.449997,82.400002,83.25,80.717041,6051050
09-05-2023,83.75,84.300003,83.5,84,81.444221,7286472
10-05-2023,84.5,84.599998,83.849998,84.25,81.686615,7349573
11-05-2023,84.300003,84.449997,83.800003,83.949997,81.395737,4455253
12-05-2023,83.849998,84.150002,83.349998,83.550003,81.007912,4700410
15-05-2023,83.800003,84.550003,83.550003,84.199997,81.63813,7167177
16-05-2023,85.400002,87.650002,85,87,84.352943,44298431
17-05-2023,87.800003,88.599998,87.300003,87.550003,84.886208,20861152
18-05-2023,87.599998,87.75,85.800003,86,83.383369,16119484
19-05-2023,86,86.25,84.800003,86.050003,83.431847,11201198
22-05-2023,86.050003,87.300003,85.300003,87.150002,84.498375,9226502
23-05-2023,87.449997,89.900002,86.75,89,86.292091,27392800
24-05-2023,89.099998,89.900002,88.75,89.650002,86.92231,19866440
25-05-2023,89.849998,89.849998,88.599998,89.150002,86.437523,9684940
26-05-2023,89.199997,90.300003,89,90.199997,87.455574,9846321
29-05-2023,90.300003,90.449997,89.400002,90.050003,87.310143,6891927
30-05-2023,90,90.949997,89.800003,90.300003,87.552536,9269698
31-05-2023,90.400002,91.400002,89.550003,90,87.261665,17157711
01-06-2023,90.5,91.150002,89.900002,90.5,87.746452,11770478
02-06-2023,90.5,90.900002,89.699997,89.800003,87.067749,7123634
05-06-2023,89.900002,90,88.650002,89.25,86.534485,9227005
06-06-2023,89.400002,89.800003,88.849998,89.400002,86.679916,5740801
07-06-2023,89.550003,91.099998,89.5,90.849998,88.0858,11403972
08-06-2023,90.75,90.849998,89.699997,90.050003,87.310143,10809055
09-06-2023,90.199997,91.650002,90.150002,90.300003,87.552536,9921823
12-06-2023,90.699997,92,90.199997,91.849998,89.055374,10813997
13-06-2023,92.849998,93.099998,91.699997,91.900002,89.103859,19796495
14-06-2023,92.199997,93.5,92,93.150002,90.315826,19246845
15-06-2023,93.300003,93.699997,92.599998,92.900002,90.073433,8742159
16-06-2023,93,93.199997,91.900002,92.150002,89.346252,15146569
19-06-2023,92.150002,92.849998,91.650002,91.900002,89.103859,6800507
20-06-2023,91.900002,92.599998,91.300003,91.900002,89.103859,9394894
21-06-2023,91.949997,92.849998,91.699997,92,89.200813,9499893
22-06-2023,92,92.849998,91.75,92,89.200813,9694937
23-06-2023,92.300003,92.400002,88.849998,89.300003,86.582962,18134295
26-06-2023,89.300003,89.949997,88.699997,89.550003,86.825356,10963542
27-06-2023,89.75,90.5,88.900002,89.349998,86.631439,10668117
28-06-2023,89.349998,89.349998,89.349998,89.349998,86.631439,0
30-06-2023,90.949997,91.949997,90.650002,91.300003,88.52211,12595671
03-07-2023,91.599998,96.099998,91.300003,95.25,92.351929,32972732
04-07-2023,96,96.400002,94.349998,94.650002,91.770187,11918401
05-07-2023,95.150002,95.699997,93.400002,95.5,92.594322,14283796
06-07-2023,96,98.800003,96,98.599998,95.599998,32778334
07-07-2023,99.449997,101.25,98.800003,99.199997,96.18174,37546405
10-07-2023,101,101.449997,97.099998,97.400002,94.436516,24042759
11-07-2023,97.800003,98.900002,96.900002,98.099998,95.115211,17508261
12-07-2023,98.25,99.349998,97.699997,97.900002,94.921303,14979586
13-07-2023,98.400002,98.699997,96,96.199997,93.273018,11491737
14-07-2023,96.5,97.650002,95.800003,96.599998,93.660851,24048036
17-07-2023,97.400002,97.900002,96.900002,97.349998,94.388031,19126927
18-07-2023,98.050003,98.400002,97.199997,97.599998,94.630424,9527821
19-07-2023,98,99.050003,97.699997,98.25,95.260651,15283446
20-07-2023,98.699997,99.300003,98.449997,98.75,95.745438,8940131
21-07-2023,98.849998,99.849998,98.599998,99.349998,96.327179,18598910
24-07-2023,99.800003,100.699997,99.5,99.849998,96.811966,19073238
25-07-2023,99.949997,100.25,98.699997,99,95.987831,11983867
26-07-2023,99.849998,100.199997,98.849998,99.599998,96.569572,14912431
27-07-2023,100.400002,100.449997,98.099998,98.599998,95.599998,16349608
28-07-2023,96.199997,96.599998,94.25,95.25,95.25,27278447
31-07-2023,96,96.199997,93,93.75,93.75,25418124
01-08-2023,93.800003,94.75,93.300003,94,94,16132927
02-08-2023,94.400002,94.650002,93,93.849998,93.849998,16780965
03-08-2023,93.900002,94.199997,93.150002,93.5,93.5,8703991
04-08-2023,93.550003,93.900002,92.050003,92.300003,92.300003,10743670
07-08-2023,92.449997,93,92,92.849998,92.849998,6947500
08-08-2023,93,93.449997,91.949997,92.349998,92.349998,14652588
09-08-2023,92.449997,94.050003,92.199997,93.900002,93.900002,9339961
10-08-2023,93.900002,94.300003,93.5,93.849998,93.849998,6480305
11-08-2023,94,94.300003,93.349998,93.5,93.5,9294868
14-08-2023,93.5,93.550003,91.5,92.599998,92.599998,6762888
16-08-2023,92.599998,93.449997,92.050003,93.300003,93.300003,7026509
17-08-2023,93.300003,93.5,92,92.25,92.25,6856243
18-08-2023,92.150002,92.349998,91.099998,91.400002,91.400002,7603578
21-08-2023,91.300003,92.150002,90.75,92,92,7450923
22-08-2023,92.400002,92.400002,91.650002,91.849998,91.849998,5274379
23-08-2023,91.849998,92,91.199997,91.300003,91.300003,6805550
24-08-2023,91.699997,93.25,91.550003,92.25,92.25,9936618
25-08-2023,91.949997,93.199997,91.650002,91.800003,91.800003,7021529
28-08-2023,92.25,92.5,91.699997,91.900002,91.900002,6866040
29-08-2023,92.050003,92.400002,91.599998,91.900002,91.900002,6510089
30-08-2023,91.5,91.5,90.599998,90.75,90.75,10926964
31-08-2023,90.75,91.550003,88.949997,89.099998,89.099998,15918998
01-09-2023,89.349998,90,88.75,89.050003,89.050003,14735373
04-09-2023,89.300003,90.5,89.300003,90.050003,90.050003,13063008
05-09-2023,90.550003,91.699997,90.400002,91.349998,91.349998,12849665
06-09-2023,91.449997,91.699997,90.5,91.349998,91.349998,8805552
07-09-2023,91.449997,91.900002,91.050003,91.699997,91.699997,7697172
08-09-2023,92.199997,94.949997,91.550003,94,94,29294769
11-09-2023,95.5,96,94.099998,95.199997,95.199997,23997873
12-09-2023,95.900002,95.900002,91.349998,91.550003,91.550003,21373206
13-09-2023,91.900002,93.5,91.349998,93.099998,93.099998,11716054
14-09-2023,93.599998,95.099998,93.150002,94.650002,94.650002,16430876
15-09-2023,94.349998,94.550003,91.75,91.949997,91.949997,35184771
18-09-2023,92.800003,93.400002,91.800003,92.599998,92.599998,17302409
20-09-2023,92.449997,92.949997,91.400002,91.849998,91.849998,18228395
21-09-2023,91.900002,93.150002,91.800003,92.75,92.75,15173388
22-09-2023,92.800003,93.349998,92,92.25,92.25,10983768
25-09-2023,92.5,92.599998,91.800003,91.949997,91.949997,10885789
26-09-2023,92.199997,92.800003,91.900002,92,92,8786944
27-09-2023,92.050003,92.400002,90.099998,90.400002,90.400002,17576586
28-09-2023,90.800003,91.400002,89.5,89.800003,89.800003,17116633
29-09-2023,90.599998,91.150002,90.25,90.949997,90.949997,7353379
03-10-2023,91.400002,91.400002,89.800003,90,90,12491467
04-10-2023,90,90.150002,88.699997,89.099998,89.099998,10554372
05-10-2023,90.449997,90.75,89.199997,89.650002,89.650002,9293183
06-10-2023,90,90,89.349998,89.75,89.75,8500414
