Date,Open,High,Low,Close,KALYANKJIL,Volume
07-10-2022,101.699997,104.650002,99.599998,101.75,101.45153,25057038
10-10-2022,100.199997,103.349998,99.599998,101.75,101.45153,9027012
11-10-2022,102.199997,103,97,97.599998,97.313698,4694240
12-10-2022,98.699997,99.25,94.5,96.349998,96.067368,5855614
13-10-2022,96.800003,103.800003,96.099998,101,100.703728,18262099
14-10-2022,102.900002,105.400002,101.5,103.150002,102.84742,13053826
17-10-2022,103.5,105,101.599998,103.849998,103.545364,5835504
18-10-2022,105,108.699997,104.300003,107.699997,107.384071,12007927
19-10-2022,108.050003,108.300003,104.800003,105.349998,105.04097,6134291
20-10-2022,104.900002,105.349998,104.25,104.5,104.193459,2889733
21-10-2022,104.900002,105.199997,99.5,100.050003,99.756516,6382838
24-10-2022,101.849998,103.75,101.550003,103.050003,102.747719,2140559
25-10-2022,103.650002,103.800003,99.550003,100.099998,99.806366,4049530
27-10-2022,100.449997,104.050003,100.199997,102.800003,102.498451,4327761
28-10-2022,102.800003,105.699997,102.5,104.650002,104.343025,7006246
31-10-2022,105.699997,106.449997,102,102.5,102.199326,3497589
01-11-2022,103.300003,103.300003,100.699997,102,101.700798,2921976
02-11-2022,102.5,103.349998,101.050003,101.800003,101.501381,1973158
03-11-2022,101.5,102.25,101,101.400002,101.102554,1485168
04-11-2022,102,105.25,101.849998,104.449997,104.143608,4400551
07-11-2022,105.5,106,104.099998,105.300003,104.991119,2593516
09-11-2022,106.099998,109.550003,104.5,107.300003,106.985252,5728242
10-11-2022,106.849998,109.400002,100.349998,102.800003,102.498451,9214947
11-11-2022,105,105.349998,102.5,103.449997,103.146538,2403396
14-11-2022,103.599998,103.900002,101.550003,102.800003,102.498451,1656094
15-11-2022,102.800003,104.25,102.550003,103.349998,103.046837,1156362
16-11-2022,103,103.400002,101,101.349998,101.052704,1533605
17-11-2022,101,102,100.150002,100.599998,100.304901,1433341
18-11-2022,101.5,101.699997,97.900002,98.5,98.21106,2281185
21-11-2022,99,99.5,95.75,96,95.718399,1844862
22-11-2022,96,96.449997,90.300003,91.199997,90.932472,4361399
23-11-2022,91.949997,99.800003,91.650002,98.699997,98.410469,8776915
24-11-2022,100.099998,100.900002,97.400002,98.949997,98.659737,3469494
25-11-2022,99.25,101,97.550003,100.150002,99.856224,2326912
28-11-2022,99.449997,101.300003,99,99.849998,99.557098,1785912
29-11-2022,99.900002,101.199997,98.25,98.949997,98.659737,1075669
30-11-2022,100,109.099998,100,105.900002,105.589355,22588468
01-12-2022,106.949997,106.949997,104.349998,106.050003,105.738914,3268207
02-12-2022,105.900002,110.650002,104.5,109.75,109.428062,6867433
05-12-2022,110.949997,116.400002,110.75,115.5,115.161194,12499766
06-12-2022,115.199997,115.400002,112.300003,113.550003,113.216919,4803825
07-12-2022,113.5,113.800003,108.650002,109.849998,109.527763,4496577
08-12-2022,110.699997,110.699997,107,107.800003,107.483788,2971015
09-12-2022,108.75,112,108.5,110.650002,110.325424,5120737
12-12-2022,112,120,111.349998,119,118.650925,10268098
13-12-2022,120.800003,122.949997,117.5,119.199997,118.850334,7540373
14-12-2022,120.099998,121.300003,116.599998,118.699997,118.351807,3807738
15-12-2022,118.699997,122,117.150002,118.949997,118.601074,3398250
16-12-2022,119,127.900002,119,125.449997,125.082001,18589084
19-12-2022,127.25,130,123.599998,129.199997,128.820999,8068881
20-12-2022,128.899994,131.800003,127.550003,131.050003,130.665588,7813644
21-12-2022,131,131.050003,122.650002,123.650002,123.287292,7066417
22-12-2022,124.300003,126.050003,117.699997,122.650002,122.290222,8231183
23-12-2022,121.949997,124,104.650002,107.699997,107.384071,8232069
26-12-2022,108,124.349998,106.900002,121.75,121.39286,10976444
27-12-2022,125,125.699997,120.699997,124,123.636261,6715085
28-12-2022,123.900002,133,123.550003,131.149994,130.765274,12084101
29-12-2022,132.800003,134.199997,125.150002,126.5,126.128929,8410119
30-12-2022,128,128.699997,125.599998,126.550003,126.178787,3659381
02-01-2023,126.599998,127.699997,124,125.099998,124.733032,3324015
03-01-2023,125.599998,127,123.5,124.699997,124.334206,2287722
04-01-2023,125.300003,126,118.25,120.800003,120.445648,4098252
05-01-2023,121.449997,124.199997,119.5,123.099998,122.738899,3911591
06-01-2023,123.099998,123.5,118.599998,120.400002,120.046822,3182421
09-01-2023,124.75,127.599998,123.5,125.199997,124.832741,6691289
10-01-2023,125.199997,125.800003,119.75,120.849998,120.495499,3424211
11-01-2023,121.25,121.349998,117.199997,119.300003,118.95005,3861722
12-01-2023,119.800003,119.800003,117.75,118.800003,118.451515,2248181
13-01-2023,119.400002,123.900002,118.5,123.050003,122.689049,4743171
16-01-2023,123.699997,123.699997,120.650002,121.199997,120.844467,1748002
17-01-2023,121.150002,122.75,119.699997,120.599998,120.246231,1543635
18-01-2023,121.050003,122.199997,118.5,119,118.650925,2125159
19-01-2023,118.199997,121.099998,118.199997,119.599998,119.249168,1576048
20-01-2023,119.5,120.75,118.449997,119.300003,118.95005,1110487
23-01-2023,119.900002,120.900002,118.5,119.599998,119.249168,1066390
24-01-2023,119.599998,120.449997,118.199997,118.900002,118.551224,922365
25-01-2023,118.900002,119.349998,114.199997,116.349998,116.008698,2094736
27-01-2023,117.150002,117.150002,105.599998,111,110.674393,4617836
30-01-2023,110.900002,111.949997,103.050003,105,104.691994,3079125
31-01-2023,106,119.25,104.25,117.949997,117.604004,12448242
01-02-2023,119.300003,119.300003,109.5,112.400002,112.07029,4738212
02-02-2023,112,115,110.050003,110.650002,110.325424,2568059
03-02-2023,111.449997,115,111.099998,113.949997,113.615738,3910365
06-02-2023,113.949997,120.75,113.5,119.900002,119.548286,4516688
07-02-2023,122,122,116.300003,117.699997,117.354736,4096400
08-02-2023,118.199997,119.849998,116.300003,117.150002,116.806358,2506620
09-02-2023,117,117.400002,113.349998,113.75,113.416328,1651480
10-02-2023,113,116.300003,111.5,113.650002,113.31662,1951198
13-02-2023,113.900002,114.949997,105,107.650002,107.334221,3577470
14-02-2023,108.25,108.449997,103.5,105.25,104.941261,3620495
15-02-2023,106.949997,113,106.550003,109.75,109.428062,4737610
16-02-2023,110.199997,111.949997,109.75,110.75,110.425125,1880672
17-02-2023,110.800003,111.699997,109.949997,111.150002,110.823959,1081194
20-02-2023,111.25,119.849998,110.349998,118.650002,118.301956,6713121
21-02-2023,119,119.849998,115.5,116.900002,116.557091,3401943
22-02-2023,115.300003,119.150002,114.349998,118,117.653862,3356984
23-02-2023,117.400002,119,115.949997,118.300003,117.95298,1985888
24-02-2023,119.300003,120.800003,117.050003,118.550003,118.202248,1752546
27-02-2023,117.300003,119.300003,114.800003,115.349998,115.011635,2023539
28-02-2023,115.400002,117.5,112.5,113.650002,113.31662,1754955
01-03-2023,114.300003,116.5,113.599998,115.400002,115.061493,2163429
02-03-2023,115.400002,117.25,114.050003,116.599998,116.257965,1348387
03-03-2023,117.25,119,116.199997,117.050003,116.70665,1677545
06-03-2023,117.900002,118.800003,116.5,117.349998,117.005768,1425239
08-03-2023,116.599998,117.949997,115.050003,117.150002,116.806358,1225072
09-03-2023,117.449997,123.300003,117.349998,118.900002,118.551224,4434720
10-03-2023,117.25,119.300003,115.849998,116.400002,116.058556,1674290
13-03-2023,116.349998,116.699997,106.800003,107.699997,107.384071,7242001
14-03-2023,109.699997,111.699997,107,107.900002,107.583488,3966578
15-03-2023,109.400002,111.949997,108.5,110.699997,110.375275,2363569
16-03-2023,111.449997,111.449997,108.199997,108.949997,108.630402,1482266
17-03-2023,109,122.5,108.550003,119.5,119.14946,20034019
20-03-2023,120.949997,124.599998,117.849998,118.5,118.152397,8960307
21-03-2023,119.449997,119.449997,117,117.550003,117.205185,1935891
22-03-2023,118.349998,120.099998,116.599998,118.550003,118.202248,2738601
23-03-2023,117.199997,119.25,116.099998,117.650002,117.304886,1589780
24-03-2023,118.25,119.650002,115.349998,116.599998,116.257965,2145212
27-03-2023,117.5,122.400002,113.25,118.650002,118.301956,4588226
28-03-2023,112,112,105.599998,107.150002,106.835686,47341344
29-03-2023,108,110.949997,105.650002,110.099998,109.777031,6995799
31-03-2023,110.199997,110.800003,105,105.349998,105.04097,11408564
03-04-2023,106.5,106.699997,103.5,105.75,105.439796,5722604
05-04-2023,106,107.599998,104.849998,106.099998,105.788765,3680136
06-04-2023,106.550003,107,104,104.300003,103.994049,2774723
10-04-2023,104.849998,105.449997,103.5,104,103.694931,2034271
11-04-2023,104.699997,105.050003,103.75,104.050003,103.744781,1739733
12-04-2023,104.5,104.650002,103,103.400002,103.096687,1714607
13-04-2023,103.900002,106.199997,103.300003,104.25,103.944199,2997070
17-04-2023,104.400002,104.449997,103,103.449997,103.146538,1596510
18-04-2023,103.949997,104.550003,103.25,103.5,103.196396,1357031
19-04-2023,103.949997,104.199997,102.300003,102.599998,102.299034,1312875
20-04-2023,103,104.300003,102.550003,102.900002,102.59816,1346022
21-04-2023,104.849998,104.849998,102.349998,103.099998,102.797569,1286065
24-04-2023,103.949997,104.099998,103,103.199997,102.89727,843083
25-04-2023,103.449997,104.900002,102.25,103.150002,102.84742,1524312
26-04-2023,103.150002,103.5,101.099998,101.349998,101.052704,1777834
27-04-2023,101.349998,102.150002,100.949997,101.699997,101.401672,1180737
28-04-2023,102.199997,107.199997,102.050003,102.699997,102.398735,6799696
02-05-2023,103.650002,106.5,102.75,105.599998,105.29023,4239996
03-05-2023,105.849998,107.25,104.599998,105.050003,104.741852,2905981
04-05-2023,106.5,107,105,105.650002,105.340088,3382269
05-05-2023,105.650002,107.300003,104.150002,104.800003,104.492584,2441480
08-05-2023,105.25,105.900002,104.300003,104.900002,104.592293,1334845
09-05-2023,104.900002,107.449997,104.650002,105.150002,104.841553,1879585
10-05-2023,105.5,106.5,104.349998,104.900002,104.592293,1241314
11-05-2023,105.449997,106.599998,105.199997,106.449997,106.137741,1674733
12-05-2023,106.5,109.800003,106.099998,108.550003,108.231583,5366359
15-05-2023,109,111.400002,104,106.550003,106.23745,10032283
16-05-2023,107,109.699997,106.699997,108.349998,108.032166,3528657
17-05-2023,109,109.400002,106.349998,107.150002,106.835686,1725503
18-05-2023,107.900002,108.199997,106.25,106.75,106.436859,1273510
19-05-2023,106.949997,107.150002,104.150002,104.800003,104.492584,1572073
22-05-2023,105.599998,108.900002,105.550003,107,106.686127,3680720
23-05-2023,107.550003,107.800003,105.599998,106.050003,105.738914,1188180
24-05-2023,106.400002,107.699997,105.800003,106.099998,105.788765,1534036
25-05-2023,106.300003,106.449997,104.599998,105.199997,104.891403,956755
26-05-2023,105.900002,106.699997,105.150002,105.650002,105.340088,717468
29-05-2023,106.5,106.5,105.300003,105.699997,105.389938,790306
30-05-2023,105.900002,106.5,105,105.349998,105.04097,706250
31-05-2023,105.349998,106,104.800003,105.650002,105.340088,1777379
01-06-2023,105.650002,109.650002,104.900002,108.699997,108.381142,3924920
02-06-2023,109,114.599998,109,112.650002,112.319557,9728071
05-06-2023,112.5,113.349998,110.349998,111.199997,110.873802,3226338
06-06-2023,111.599998,111.599998,108.800003,111.099998,110.774101,2040365
07-06-2023,111.5,112.400002,110.099998,110.550003,110.225716,1409830
08-06-2023,110.599998,113.650002,110.550003,111.849998,111.521896,3950315
09-06-2023,112.699997,113.300003,110.599998,111,110.674393,1462452
12-06-2023,111.449997,111.650002,109,109.349998,109.029236,1351654
13-06-2023,109.900002,115.449997,109.449997,114.800003,114.463249,4961518
14-06-2023,114.900002,115.75,112.349998,112.599998,112.269699,3236712
15-06-2023,113,117.449997,112.25,114.199997,113.865005,13066200
16-06-2023,119.099998,134.899994,119.099998,131.100006,130.715439,56810999
19-06-2023,134,137.600006,130.25,132.850006,132.460312,26050078
20-06-2023,133,133.449997,126.800003,127.900002,127.524818,8357824
21-06-2023,128.5,129.699997,125.800003,128.649994,128.272614,5610434
22-06-2023,128.199997,128.350006,121.5,123,122.639191,5317492
23-06-2023,123.5,127.699997,123.5,126.599998,126.22863,8273467
26-06-2023,127.349998,130.899994,127.150002,130.199997,129.818069,4186141
27-06-2023,130.850006,136.949997,130,135.649994,135.252075,6259305
28-06-2023,135.649994,135.649994,135.649994,135.649994,135.252075,0
30-06-2023,141.699997,148.600006,139.5,147.050003,146.618652,10312196
03-07-2023,147.050003,152.800003,145.649994,150.449997,150.008667,11776920
04-07-2023,150,150.5,140.5,147.050003,146.618652,7829385
05-07-2023,147.899994,149.5,146.300003,148.449997,148.014542,4481338
06-07-2023,148.899994,154.899994,147.300003,153.850006,153.398712,7038245
07-07-2023,158,166.5,157.699997,162.550003,162.073181,42109534
10-07-2023,163.75,165,157.199997,163.800003,163.319519,9240089
11-07-2023,164.899994,175.899994,164.25,174.199997,173.688995,23760974
12-07-2023,177.600006,184.350006,177.050003,179.600006,179.073166,27263371
13-07-2023,180.75,182.699997,170.5,173.350006,172.841507,14880566
14-07-2023,176.25,184.199997,175.100006,182.649994,182.114212,18929192
17-07-2023,183.899994,187.5,179.100006,181,180.469055,13001344
18-07-2023,182.25,182.300003,171,174.25,173.738861,7832169
19-07-2023,174.449997,177.699997,170.100006,172.75,172.243256,5962791
20-07-2023,173.550003,174.399994,170.100006,170.850006,170.348831,3375360
21-07-2023,170.5,175.5,168,174.050003,173.539444,4768332
24-07-2023,174.800003,174.800003,170.350006,172.800003,172.293121,1750139
25-07-2023,173.75,176.5,172,174.25,173.738861,2295348
26-07-2023,173.899994,175,172.449997,174.300003,173.788712,1114571
27-07-2023,173.100006,176.949997,173.050003,175.699997,175.184601,1662491
28-07-2023,175.25,177.699997,174,175.25,174.735931,1321521
31-07-2023,175.75,176.899994,174,174.699997,174.187531,984248
01-08-2023,175.699997,175.800003,171.399994,172.550003,172.043854,1310903
02-08-2023,172.550003,173.050003,162.649994,168.25,167.756454,1290121
03-08-2023,166,173,164.199997,170.449997,169.949997,1613804
04-08-2023,171.300003,173.25,169,170.600006,170.600006,693006
07-08-2023,171.699997,176,170.350006,174.350006,174.350006,1287160
08-08-2023,175.300003,179.699997,171.699997,177.649994,177.649994,1411140
09-08-2023,177.649994,189,177.649994,182.600006,182.600006,8345363
10-08-2023,185.899994,186.699997,178.5,181.5,181.5,3083265
11-08-2023,182.350006,204.949997,182.050003,202.399994,202.399994,23808053
14-08-2023,202.300003,211.149994,194.050003,208.800003,208.800003,10405291
16-08-2023,207.699997,225,204.699997,222.800003,222.800003,18590171
17-08-2023,223.75,228.350006,217.050003,222.75,222.75,11898690
18-08-2023,222.5,222.5,211.050003,214.600006,214.600006,4346093
21-08-2023,216,227,210.600006,219.850006,219.850006,4994560
22-08-2023,221.350006,226.350006,215.5,223.600006,223.600006,5627528
23-08-2023,225.5,227,221.399994,222.5,222.5,2720524
24-08-2023,222.5,224,216.199997,216.75,216.75,1815997
25-08-2023,216,217.600006,210.050003,211,211,1738138
28-08-2023,214,222.850006,214,220.600006,220.600006,3833749
29-08-2023,222.25,229.850006,222.25,227.850006,227.850006,5728456
30-08-2023,230,234.449997,229.350006,232.800003,232.800003,3524214
31-08-2023,233.800003,261,233.5,251.800003,251.800003,12652177
01-09-2023,255.949997,261.899994,242.649994,245.5,245.5,6446769
04-09-2023,247.5,261.600006,247.050003,250.850006,250.850006,4749580
05-09-2023,252.100006,255.899994,241,242.649994,242.649994,3349412
06-09-2023,245.050003,249.949997,234,240.850006,240.850006,2598249
07-09-2023,242.149994,244.800003,239.699997,242.399994,242.399994,2466712
08-09-2023,243.600006,249.899994,242.050003,246.5,246.5,1846291
11-09-2023,247.600006,249,243,247.449997,247.449997,2191918
12-09-2023,248.5,248.5,220,229.100006,229.100006,2564654
13-09-2023,229.25,231,214.149994,223.300003,223.300003,3023626
14-09-2023,226.800003,233.699997,224.25,227,227,2358415
15-09-2023,228.949997,240.050003,227.050003,228.649994,228.649994,7666817
18-09-2023,231,234.199997,228,229.350006,229.350006,1566395
20-09-2023,228,228.899994,217.199997,219.149994,219.149994,3122634
21-09-2023,219.199997,220.199997,211.800003,213.100006,213.100006,3587595
22-09-2023,213.5,218.850006,210.050003,215.699997,215.699997,2133466
25-09-2023,216.850006,216.899994,202.800003,204.199997,204.199997,4224660
26-09-2023,205.850006,217.899994,205.550003,216.550003,216.550003,4963007
27-09-2023,217.199997,227.300003,215.600006,224.199997,224.199997,5748219
28-09-2023,224.800003,225.550003,220.550003,224.25,224.25,4216317
29-09-2023,225.199997,231.899994,225.199997,227.550003,227.550003,1902262
03-10-2023,228,231.75,221.649994,229.649994,229.649994,2800584
04-10-2023,225.449997,231.25,224.5,226.399994,226.399994,1533191
05-10-2023,228,235.75,227.899994,234.399994,234.399994,2580122
06-10-2023,239.699997,261,239.699997,258.149994,258.149994,14774304
